date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:10:07	11443/11443	---MCZ	200	added ('OK')	text/html	date:Thu,%2030%20Nov%202017%2023:10:06%20GMT	http://dbk4.kiev.ua/akcii.html	D:/Plish2/Plish2/dbk4.kiev.ua/akcii.html	(from http://dbk4.kiev.ua/)
01:10:07	11522/11522	---MCZ	200	added ('OK')	text/html	date:Thu,%2030%20Nov%202017%2023:10:07%20GMT	http://dbk4.kiev.ua/akcii/skidka.html	D:/Plish2/Plish2/dbk4.kiev.ua/akcii/skidka.html	(from http://dbk4.kiev.ua/)
01:10:08	11766/11766	---MCZ	200	added ('OK')	text/html	date:Thu,%2030%20Nov%202017%2023:10:07%20GMT	http://dbk4.kiev.ua/akcii/akciya_2.html	D:/Plish2/Plish2/dbk4.kiev.ua/akcii/akciya_2.html	(from http://dbk4.kiev.ua/)
01:10:08	13435/13435	---M--	200	added ('OK')	image/png	date:Tue,%2015%20Jan%202013%2007:47:11%20GMT	http://dbk4.kiev.ua/assets/site/img/logo.png	D:/Plish2/Plish2/dbk4.kiev.ua/assets/site/img/logo.png	(from http://dbk4.kiev.ua/)
01:10:08	11329/11329	---MCZ	200	added ('OK')	text/html	date:Thu,%2030%20Nov%202017%2023:10:07%20GMT	http://dbk4.kiev.ua/download?price=price_beton	D:/Plish2/Plish2/dbk4.kiev.ua/download1481.html	(from http://dbk4.kiev.ua/)
01:10:08	11320/11320	---MCZ	200	added ('OK')	text/html	date:Thu,%2030%20Nov%202017%2023:10:08%20GMT	http://dbk4.kiev.ua/download?price=price_zb	D:/Plish2/Plish2/dbk4.kiev.ua/downloadb27d.html	(from http://dbk4.kiev.ua/)
01:10:08	11332/11332	---MCZ	200	added ('OK')	text/html	date:Thu,%2030%20Nov%202017%2023:10:08%20GMT	http://dbk4.kiev.ua/download?price=price_mikser	D:/Plish2/Plish2/dbk4.kiev.ua/downloada7b9.html	(from http://dbk4.kiev.ua/)
01:10:09	25605/25605	---MCZ	200	added ('OK')	text/html	date:Thu,%2030%20Nov%202017%2023:10:08%20GMT	http://dbk4.kiev.ua/produkciya/beton.html	D:/Plish2/Plish2/dbk4.kiev.ua/produkciya/beton.html	(from http://dbk4.kiev.ua/)
01:10:09	17410/17410	---MCZ	200	added ('OK')	text/html	date:Thu,%2030%20Nov%202017%2023:10:08%20GMT	http://dbk4.kiev.ua/produkciya/zalizobeton.html	D:/Plish2/Plish2/dbk4.kiev.ua/produkciya/zalizobeton.html	(from http://dbk4.kiev.ua/)
01:10:10	28779/28779	---MCZ	200	added ('OK')	text/html	date:Thu,%2030%20Nov%202017%2023:10:09%20GMT	http://dbk4.kiev.ua/produkciya/perevezennya.html	D:/Plish2/Plish2/dbk4.kiev.ua/produkciya/perevezennya.html	(from http://dbk4.kiev.ua/)
